Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-01-01,237.95,242.65,236.5,239.95,239.55,646576.0,1550.75
2014-01-02,242.7,242.9,231.4,232.35,232.4,1325105.0,3145.28
2014-01-03,231.4,234.0,225.5,227.5,227.05,793583.0,1822.41
2014-01-06,230.7,232.45,224.35,224.85,225.55,1057591.0,2406.57
2014-01-07,224.35,226.7,220.25,220.8,221.65,1085563.0,2424.21
2014-01-08,220.5,223.65,216.0,216.2,217.15,736303.0,1615.45
2014-01-09,216.2,222.4,214.5,219.9,220.25,1112444.0,2444.59
2014-01-10,220.95,224.3,218.2,221.0,220.7,639327.0,1420.59
2014-01-13,221.15,223.45,217.7,220.0,220.45,652360.0,1437.16
2014-01-14,219.6,222.75,218.0,218.7,218.55,279242.0,615.08
2014-01-15,218.0,223.9,218.0,223.0,222.15,650403.0,1443.09
2014-01-16,222.4,227.7,221.0,227.2,226.05,653691.0,1468.77
2014-01-17,227.0,237.95,227.0,236.6,236.8,1667021.0,3901.44
2014-01-20,235.5,235.85,230.25,234.1,233.7,690129.0,1605.13
2014-01-21,234.0,235.8,227.25,233.0,233.7,959446.0,2226.68
2014-01-22,233.5,239.3,231.0,238.9,237.85,477026.0,1121.65
2014-01-23,237.55,238.75,234.0,235.85,235.5,714892.0,1688.86
2014-01-24,234.05,239.3,231.05,233.0,232.25,665312.0,1559.95
2014-01-27,230.05,230.95,226.25,227.0,228.05,508894.0,1165.42
2014-01-28,227.55,231.7,225.6,226.7,227.0,804542.0,1836.44
2014-01-29,228.0,245.65,226.45,240.55,240.35,2191821.0,5199.86
2014-01-30,239.0,239.9,231.7,233.7,232.85,1248802.0,2944.75
2014-01-31,233.45,245.6,233.0,245.0,244.25,1272099.0,3061.24
2014-02-03,244.25,245.5,236.8,243.0,244.4,1299235.0,3152.48
2014-02-04,241.05,243.15,238.25,239.85,240.15,843301.0,2026.73
2014-02-05,240.95,241.9,236.1,239.2,239.95,954479.0,2289.34
2014-02-06,240.0,244.9,239.0,242.95,242.7,832196.0,2013.61
2014-02-07,244.1,244.95,240.2,240.4,241.3,442805.0,1071.87
2014-02-10,241.95,243.7,239.55,242.4,242.3,295862.0,715.97
2014-02-11,243.2,251.2,240.45,249.5,249.7,1060099.0,2627.57
2014-02-12,249.7,249.7,241.35,245.75,245.8,923514.0,2269.8
2014-02-13,246.1,246.4,234.05,234.3,234.9,570620.0,1363.77
2014-02-14,235.95,237.75,232.2,236.35,236.35,412741.0,968.02
2014-02-17,237.45,240.45,232.0,237.75,238.15,287456.0,679.25
2014-02-18,237.8,241.25,237.05,239.3,240.1,574087.0,1376.46
2014-02-19,239.85,240.85,235.8,240.05,239.8,357178.0,852.25
2014-02-20,238.55,243.45,236.3,242.25,242.2,535218.0,1288.75
2014-02-21,242.2,254.5,239.9,252.65,253.45,1258347.0,3144.98
