Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-01-01,5004.6,5020.0,4975.0,5001.0,5001.95,2444.0,122.11
2014-01-02,4983.05,5085.0,4970.0,4976.25,4982.85,11189.0,561.39
2014-01-03,4953.15,5020.0,4950.0,4990.0,4968.95,3952.0,196.48
2014-01-06,5019.0,5045.0,4900.0,5006.0,4985.95,4266.0,212.39
2014-01-07,5008.0,5066.0,4973.25,4982.05,4993.1,7334.0,367.22
2014-01-08,4943.0,5167.65,4943.0,5080.0,5074.9,12424.0,631.88
2014-01-09,5120.0,5120.0,5000.0,5019.75,5042.55,10669.0,540.66
2014-01-10,4995.1,5056.5,4990.0,5001.0,5009.05,14208.0,715.29
2014-01-13,4985.0,5080.0,4985.0,5040.0,5055.0,65224.0,3297.34
2014-01-14,5020.0,5070.0,5000.75,5005.0,5012.55,29639.0,1493.09
2014-01-15,5045.0,5045.0,4901.0,4939.8,4937.35,10479.0,522.61
2014-01-16,5000.0,5065.0,4940.0,4947.0,4953.05,4156.0,207.06
2014-01-17,5040.0,5040.0,4901.0,4940.0,4945.75,3428.0,170.04
2014-01-20,4993.0,5130.0,4930.65,5109.95,5059.15,8641.0,434.45
2014-01-21,5088.0,5115.0,5062.0,5080.0,5085.75,6861.0,349.02
2014-01-22,5114.95,5114.95,5025.0,5035.15,5041.45,2482.0,125.22
2014-01-23,5094.95,5094.95,5016.1,5030.05,5044.85,4033.0,203.55
2014-01-24,5001.0,5044.95,4881.0,4900.0,4921.8,8606.0,427.79
2014-01-27,4903.1,4903.1,4823.0,4840.0,4840.15,3910.0,189.23
2014-01-28,4900.0,4940.4,4780.0,4781.0,4808.15,6080.0,293.71
2014-01-29,4837.75,4870.0,4710.0,4716.0,4725.2,4669.0,223.15
2014-01-30,4716.0,4744.0,4654.0,4690.1,4688.9,8121.0,381.66
2014-01-31,4700.0,4790.0,4608.7,4665.0,4646.1,7907.0,368.45
2014-02-03,4607.0,4715.0,4550.0,4550.0,4563.4,20409.0,942.31
2014-02-04,4520.1,4581.0,4520.1,4560.0,4555.3,9958.0,454.37
2014-02-05,4599.9,4601.65,4516.0,4528.0,4542.95,4577.0,209.2
2014-02-06,4637.0,4639.0,4478.6,4490.0,4504.05,12641.0,577.26
2014-02-07,4548.0,4579.95,4418.0,4421.2,4426.0,10177.0,453.26
2014-02-10,4426.0,4488.9,4402.0,4420.5,4430.9,15669.0,697.67
2014-02-11,4406.0,4480.0,4401.1,4415.0,4417.8,10079.0,445.87
2014-02-12,4431.0,4515.0,4402.5,4430.0,4437.55,40004.0,1781.83
2014-02-13,4525.0,4900.0,4515.1,4806.05,4818.65,190197.0,9073.37
2014-02-14,4839.9,4938.0,4823.0,4846.0,4849.5,73976.0,3606.44
2014-02-17,4899.0,4940.0,4870.0,4882.0,4904.35,28096.0,1378.38
2014-02-18,4900.0,4948.2,4885.2,4911.05,4920.0,29885.0,1468.44
2014-02-19,4925.0,4945.6,4881.2,4900.0,4899.9,16969.0,832.25
2014-02-20,4907.0,4949.0,4886.0,4909.95,4901.8,35227.0,1726.33
2014-02-21,4905.0,4919.0,4860.0,4880.0,4884.0,8707.0,425.17
2014-02-24,4920.0,4920.0,4805.0,4820.0,4820.2,21736.0,1049.61
2014-02-25,4884.85,4949.0,4830.05,4913.05,4916.15,15115.0,742.31
2014-02-26,4913.0,5049.0,4860.0,5007.0,5012.6,42932.0,2128.35
2014-02-28,5015.0,5150.1,4991.55,5140.0,5140.3,27615.0,1407.23
2014-03-03,5094.0,5227.9,5056.05,5185.35,5187.05,91018.0,4688.07
2014-03-04,5180.0,5494.0,5147.75,5452.0,5426.1,29996.0,1603.88
2014-03-05,5451.0,5700.0,5451.0,5570.05,5599.15,28189.0,1581.4
2014-03-06,5649.85,5698.0,5469.0,5485.0,5510.35,19589.0,1091.97
2014-03-07,5525.0,5580.0,5382.0,5450.0,5434.1,98061.0,5305.17
