Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-01-01,570.65,574.4,569.3,572.75,572.35,251204.0,1436.54
2014-01-02,571.0,575.75,558.6,563.5,562.4,531660.0,3014.18
2014-01-03,560.0,567.4,558.05,565.0,565.0,1018173.0,5734.3
2014-01-06,567.0,567.8,560.2,563.95,563.5,603727.0,3397.78
2014-01-07,563.0,565.9,556.0,557.05,558.95,605461.0,3388.51
2014-01-08,558.0,562.15,557.0,558.25,559.15,564149.0,3155.91
2014-01-09,560.0,560.0,553.8,554.7,554.15,854783.0,4746.78
2014-01-10,555.35,556.95,548.4,548.95,549.8,985783.0,5446.14
2014-01-13,550.0,552.0,543.5,546.0,545.7,1488598.0,8124.16
2014-01-14,545.1,548.9,537.2,537.3,538.4,925057.0,5006.26
2014-01-15,538.5,546.2,538.1,545.55,545.2,2060042.0,11202.61
2014-01-16,545.0,552.65,544.25,552.0,552.1,1221864.0,6710.15
2014-01-17,553.0,563.0,552.5,559.5,558.9,1475015.0,8244.99
2014-01-20,559.9,562.3,548.3,556.0,555.1,1549558.0,8601.04
2014-01-21,555.8,561.0,548.8,560.0,559.8,1927455.0,10721.15
2014-01-22,561.95,567.85,552.9,565.4,566.45,1892894.0,10604.31
2014-01-23,567.0,570.0,560.15,567.5,567.1,856175.0,4843.85
2014-01-24,563.0,568.85,556.6,568.0,565.8,2366263.0,13339.29
2014-01-27,563.4,584.9,555.1,580.15,575.25,3220246.0,18326.83
2014-01-28,581.0,581.65,554.5,570.0,569.7,4204432.0,23768.6
2014-01-29,569.0,574.8,563.55,570.0,569.6,1073771.0,6115.99
2014-01-30,563.55,572.8,559.7,570.05,570.4,1287033.0,7306.89
2014-01-31,569.0,573.8,565.0,570.0,570.1,1059275.0,6034.81
2014-02-03,569.1,574.25,564.8,569.0,569.75,747170.0,4259.19
2014-02-04,568.1,573.2,565.3,571.0,570.25,1891501.0,10780.84
2014-02-05,570.05,571.2,561.6,570.5,570.0,2423902.0,13791.34
2014-02-06,570.0,588.2,568.3,587.0,586.55,1720369.0,10017.69
2014-02-07,587.4,589.65,574.95,577.0,577.65,927008.0,5395.78
2014-02-10,575.65,579.75,562.65,563.65,564.0,1255220.0,7108.66
2014-02-11,565.0,569.35,561.8,563.2,562.45,1580976.0,8927.21
2014-02-12,564.85,570.35,563.4,569.75,569.45,1646508.0,9333.37
2014-02-13,572.0,572.0,555.55,555.9,557.25,486480.0,2734.91
2014-02-14,557.0,563.45,553.3,561.95,560.25,749383.0,4186.67
2014-02-17,558.0,566.0,558.0,559.7,560.25,380480.0,2139.3
2014-02-18,560.0,566.0,559.95,560.3,562.25,237065.0,1334.89
2014-02-19,562.5,562.85,557.15,558.4,558.7,456096.0,2549.64
2014-02-20,558.1,558.9,553.1,555.0,554.05,651988.0,3623.03
2014-02-21,557.4,557.4,551.85,555.0,555.35,669715.0,3713.04
2014-02-24,555.25,557.7,553.2,554.4,554.9,540669.0,3003.08
2014-02-25,555.5,556.9,553.0,554.9,554.45,541460.0,3004.46
2014-02-26,554.0,559.5,553.2,554.95,554.75,1012749.0,5629.97
2014-02-28,554.0,556.0,542.35,549.3,549.25,1797780.0,9855.75
2014-03-03,550.0,550.95,542.0,543.05,543.2,608894.0,3321.48
2014-03-04,544.0,556.0,544.0,554.7,554.9,734703.0,4059.01
2014-03-05,555.6,559.0,549.75,552.0,551.2,621406.0,3443.83
2014-03-06,552.6,554.55,547.4,549.0,549.05,1020063.0,5603.39
2014-03-07,550.5,554.45,547.2,550.5,550.4,1001114.0,5508.71
2014-03-10,552.0,559.8,548.75,556.45,557.2,1663986.0,9254.47
2014-03-11,558.8,564.9,552.65,563.75,560.35,1920661.0,10723.76
2014-03-12,564.0,565.6,558.0,559.8,560.25,971639.0,5465.27
2014-03-13,561.0,567.2,559.25,562.05,561.85,1055369.0,5943.79
2014-03-14,561.85,562.0,551.55,554.5,553.65,1243425.0,6897.97
2014-03-18,554.0,560.0,550.6,557.15,556.05,1464949.0,8114.9
2014-03-19,558.1,562.1,554.65,561.55,561.6,1164209.0,6506.33
2014-03-20,561.6,574.3,561.55,573.0,572.55,1434348.0,8186.34
2014-03-21,577.7,580.7,570.1,571.25,571.7,2669144.0,15338.32
2014-03-22,572.9,574.65,571.95,574.0,573.9,46981.0,269.6
