Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2000-01-11,1550.0,1725.0,1492.0,1560.0,1554.45,1192200.0,18869.15
2000-01-12,1560.0,1678.85,1560.0,1678.85,1678.85,344850.0,5714.35
2000-01-13,1790.0,1813.2,1781.0,1813.2,1813.2,53000.0,956.49
2000-01-14,1958.3,1958.3,1835.0,1958.3,1958.3,270950.0,5256.17
2000-01-17,2115.0,2115.0,1801.65,1801.65,1801.65,428800.0,8535.47
2000-01-18,1730.55,1815.0,1657.55,1775.0,1774.5,359900.0,6177.28
2000-01-19,1815.0,1889.0,1760.0,1842.8,1851.15,316050.0,5824.2
2000-01-20,1865.0,1865.0,1750.0,1753.5,1757.85,204700.0,3687.41
2000-01-21,1761.0,1815.0,1705.0,1786.0,1781.35,282150.0,5005.36
2000-01-24,1834.9,1923.9,1795.0,1923.9,1923.9,328650.0,6163.32
2000-01-25,1990.0,2077.85,1990.0,2077.85,2077.85,313500.0,6476.01
2000-01-27,2239.9,2239.9,1965.0,2078.0,2080.6,352400.0,7407.15
2000-01-28,2100.0,2245.0,2020.2,2190.0,2196.95,360800.0,7840.2
2000-01-31,2111.0,2200.0,2021.2,2021.2,2030.4,217650.0,4534.62
2000-02-01,1981.2,2180.0,1981.2,2160.0,2162.25,261000.0,5508.83
2000-02-02,2260.0,2260.0,2010.0,2035.0,2024.25,326550.0,6811.54
2000-02-03,2075.0,2075.0,1915.2,1965.0,1956.5,175800.0,3497.82
2000-02-04,1993.0,2064.0,1965.0,1977.0,1986.6,176500.0,3544.56
2000-02-07,1985.0,2119.95,1960.05,2036.0,2062.95,277850.0,5691.79
2000-02-08,2049.4,2060.0,1970.0,2014.0,1999.2,199100.0,4016.03
2000-02-09,2100.0,2100.0,1975.0,1991.0,1999.0,180500.0,3630.76
2000-02-10,1976.65,2014.8,1965.0,1990.0,1996.75,76850.0,1531.13
2000-02-11,1998.0,2156.5,1992.0,2156.5,2156.5,166150.0,3506.78
2000-02-14,2199.0,2329.05,2199.0,2329.05,2324.7,265150.0,6080.62
2000-02-15,2350.0,2510.7,2210.0,2500.0,2508.4,224500.0,5444.59
2000-02-16,2560.0,2560.0,2307.75,2418.0,2423.1,260850.0,6290.34
2000-02-17,2445.0,2616.95,2380.0,2616.95,2614.7,276550.0,6987.61
2000-02-18,2800.0,2823.9,2760.5,2771.0,2775.95,173400.0,4868.03
2000-02-21,2823.0,2998.0,2725.0,2805.0,2819.15,151800.0,4377.83
2000-02-22,2800.0,2875.0,2652.0,2710.0,2700.3,88250.0,2446.98
2000-02-23,2825.0,2870.0,2484.3,2499.0,2548.8,71250.0,1921.35
2000-02-24,2570.0,2650.0,2445.0,2455.0,2464.1,67350.0,1710.61
2000-02-25,2498.0,2540.0,2280.0,2325.0,2317.3,72050.0,1726.2
2000-02-28,2200.0,2300.0,2132.0,2261.0,2262.75,67550.0,1486.98
2000-02-29,2325.0,2350.0,2081.75,2081.75,2081.75,85100.0,1877.75
2000-03-01,2000.0,2248.3,1915.25,2248.3,2248.3,217400.0,4563.42
2000-03-02,2399.0,2428.2,2350.0,2428.2,2428.2,73000.0,1763.83
2000-03-03,2618.9,2622.5,2350.0,2402.0,2443.6,144050.0,3541.14
2000-03-06,2500.0,2500.0,2248.15,2262.0,2249.75,50200.0,1168.72
2000-03-07,2225.0,2269.0,2069.8,2069.8,2069.8,74050.0,1550.21
2000-03-08,2000.0,2150.0,1940.0,1960.0,1975.4,123150.0,2469.72
2000-03-09,1952.0,2085.0,1817.4,1870.0,1911.55,141050.0,2725.9
2000-03-10,1902.0,1949.9,1770.0,1818.0,1798.9,70000.0,1296.21
2000-03-13,1839.0,1915.0,1655.0,1655.0,1655.0,95250.0,1632.3
2000-03-14,1650.0,1725.0,1522.6,1700.0,1667.75,122700.0,1938.13
2000-03-15,1750.0,1801.2,1578.05,1801.2,1801.2,38000.0,638.66
2000-03-16,1945.0,1945.3,1945.0,1945.3,1945.3,7750.0,150.76
2000-03-21,2089.0,2100.95,2000.0,2100.95,2100.95,67200.0,1394.55
2000-03-22,2269.05,2269.05,2269.05,2269.05,2269.05,6900.0,156.56
2000-03-23,2399.0,2450.0,2090.0,2180.0,2148.35,74050.0,1627.41
2000-03-24,2055.0,2185.0,2031.0,2130.0,2123.35,113100.0,2397.04
2000-03-27,2140.0,2205.0,1995.0,2110.0,2102.6,87200.0,1817.18
2000-03-28,2082.0,2092.0,2000.0,2000.0,2004.5,52250.0,1048.01
2000-03-29,2050.0,2098.0,2000.0,2022.0,2023.15,79100.0,1602.84
2000-03-30,1950.0,1970.0,1861.3,1870.0,1865.15,41750.0,790.22
2000-03-31,1802.0,1803.0,1715.95,1733.5,1722.05,88200.0,1517.53
2000-04-03,1799.0,1800.0,1584.3,1584.3,1584.3,74100.0,1195.84
2000-04-04,1457.6,1457.6,1457.6,1457.6,1457.6,17000.0,247.79
2000-04-05,1341.0,1544.0,1341.0,1477.0,1495.15,119800.0,1703.86
2000-04-06,1545.0,1614.8,1400.0,1614.8,1598.5,105800.0,1569.41
2000-04-07,1698.0,1726.4,1698.0,1726.4,1726.4,19300.0,333.18
2000-04-10,1855.0,1864.55,1855.0,1864.55,1864.55,22900.0,426.97
2000-04-11,1864.55,2013.75,1720.0,1927.0,1893.8,227450.0,4265.13
2000-04-12,1874.0,1944.0,1742.3,1742.3,1755.4,90000.0,1698.02
2000-04-13,1617.2,1669.0,1615.0,1615.0,1615.0,49150.0,798.75
2000-04-17,1485.8,1485.8,1485.8,1485.8,1485.8,850.0,12.63
