Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-01-01,1048.9,1072.0,1042.0,1069.0,1065.9,267440.0,2838.25
2015-01-02,1070.1,1079.0,1063.3,1067.05,1069.15,366424.0,3925.69
2015-01-05,1069.15,1087.0,1058.0,1065.0,1066.6,339287.0,3643.33
2015-01-06,1054.1,1058.95,1020.55,1022.1,1027.7,554980.0,5761.85
2015-01-07,1016.0,1025.8,997.25,1013.55,1011.85,528687.0,5342.43
2015-01-08,1025.0,1034.9,998.6,1021.15,1022.1,478081.0,4837.49
2015-01-09,1027.0,1035.0,1004.05,1010.05,1012.95,504604.0,5125.52
2015-01-12,1010.05,1012.0,997.65,1000.6,1000.7,240944.0,2417.3
2015-01-13,1005.95,1014.0,989.15,991.95,993.45,506778.0,5080.56
2015-01-14,995.0,998.0,963.05,968.95,968.25,588187.0,5738.16
2015-01-15,977.95,988.0,956.65,965.0,970.95,681434.0,6626.19
2015-01-16,973.7,992.55,960.95,978.7,980.45,495273.0,4852.53
2015-01-19,986.0,992.1,972.3,977.8,976.65,338935.0,3325.84
2015-01-20,979.55,1008.25,978.75,1006.95,1005.1,612123.0,6122.27
2015-01-21,1010.1,1013.0,982.0,1003.0,999.95,502890.0,5007.37
2015-01-22,1001.0,1009.6,986.2,990.6,993.25,385269.0,3842.42
2015-01-23,1010.0,1021.0,995.0,1009.7,1015.3,548505.0,5527.93
2015-01-27,1016.05,1024.2,1001.55,1015.0,1016.5,469928.0,4769.31
2015-01-28,1015.0,1017.0,990.0,992.45,995.05,452708.0,4542.37
2015-01-29,993.8,1002.75,978.35,997.1,997.15,711689.0,7053.57
2015-01-30,996.0,1005.45,957.65,992.5,977.45,812508.0,8004.08
2015-02-02,978.25,1009.6,977.05,998.9,997.0,496941.0,4953.16
2015-02-03,997.0,1005.95,978.0,980.1,985.5,514710.0,5097.21
2015-02-04,988.0,1007.6,987.0,991.05,995.0,489108.0,4881.85
2015-02-05,996.0,1000.0,971.25,975.0,976.5,518744.0,5122.8
2015-02-06,978.8,984.7,954.0,961.9,960.85,471895.0,4556.86
2015-02-09,950.0,953.95,922.0,935.95,936.1,721419.0,6766.22
2015-02-10,933.0,963.9,927.05,937.1,938.6,433498.0,4089.74
2015-02-11,936.9,989.8,936.9,980.8,977.85,496881.0,4797.85
2015-02-12,981.1,986.9,961.5,977.95,971.85,487441.0,4734.89
2015-02-13,979.8,999.4,972.0,998.3,986.0,653511.0,6412.76
2015-02-16,992.0,1003.05,985.2,990.35,991.2,454742.0,4524.48
2015-02-18,993.8,1000.4,970.0,971.05,973.2,462472.0,4538.64
2015-02-19,978.8,1052.0,975.15,1050.0,1037.6,1090042.0,11026.07
2015-02-20,1050.1,1058.1,1020.35,1024.0,1024.25,606846.0,6287.16
2015-02-23,1028.0,1032.85,991.25,992.65,997.15,602713.0,6078.41
2015-02-24,1000.0,1032.8,981.45,1025.0,1019.75,601105.0,6029.51
2015-02-25,1034.7,1034.9,994.65,994.8,1000.15,389927.0,3935.25
2015-02-26,1008.0,1014.5,985.0,997.0,992.25,671141.0,6682.22
2015-02-27,1003.0,1019.2,995.0,1007.3,1009.65,795164.0,8017.16
2015-02-28,1010.0,1051.65,977.0,1006.0,1010.85,966115.0,9784.18
2015-03-02,1017.0,1021.95,991.2,1004.7,1006.85,552317.0,5553.9
2015-03-03,1003.0,1023.0,994.75,1002.0,1001.65,789118.0,7927.85
2015-03-04,1020.0,1021.7,985.1,995.0,991.95,912856.0,9175.28
2015-03-05,1011.0,1017.7,983.2,988.0,991.6,633036.0,6304.64
2015-03-09,995.8,995.8,956.1,958.0,959.7,443878.0,4317.29
2015-03-10,965.0,967.5,940.0,945.95,944.55,466864.0,4441.07
2015-03-11,950.0,953.15,927.2,929.25,930.65,449253.0,4199.64
2015-03-12,935.0,964.9,935.0,952.65,952.15,453801.0,4317.39
2015-03-13,956.0,960.15,933.1,950.0,942.9,432799.0,4081.08
2015-03-16,950.15,952.6,915.0,924.1,918.9,420232.0,3907.41
2015-03-17,926.8,942.7,916.0,933.65,937.5,778137.0,7243.62
2015-03-18,951.0,952.95,932.0,941.0,939.4,577912.0,5427.81
2015-03-19,950.0,965.0,943.65,946.35,949.8,802032.0,7658.5
2015-03-20,949.5,952.35,915.5,920.4,920.95,773380.0,7199.55
2015-03-23,921.95,934.0,907.25,920.0,918.2,648797.0,5965.6
2015-03-24,918.2,922.75,894.75,904.0,902.55,651891.0,5913.03
2015-03-25,898.9,912.0,896.1,911.0,909.85,655333.0,5928.31
2015-03-26,908.05,908.05,880.2,883.0,884.85,965428.0,8582.29
2015-03-27,886.55,919.0,886.55,915.0,911.9,564921.0,5096.53
2015-03-30,917.95,922.1,896.0,920.0,912.0,525643.0,4764.6
2015-03-31,925.1,925.55,902.05,905.1,906.55,686799.0,6274.63
2015-04-01,908.9,915.2,900.0,905.45,909.65,692289.0,6285.99
2015-04-06,915.0,915.0,892.3,900.05,900.8,437465.0,3937.93
2015-04-07,905.0,942.35,901.1,937.9,937.6,775509.0,7145.11
2015-04-08,942.0,945.85,915.25,929.9,932.0,539285.0,5016.99
2015-04-09,935.0,960.0,918.5,958.8,952.7,1258324.0,11805.99
2015-04-10,953.0,967.0,937.15,948.5,951.9,793721.0,7551.79
2015-04-13,952.0,964.0,936.0,941.4,942.3,635916.0,6017.96
2015-04-15,942.0,951.2,922.0,924.3,928.75,282151.0,2651.39
2015-04-16,928.65,947.9,926.0,943.7,941.6,507554.0,4759.85
2015-04-17,944.9,979.7,935.6,955.6,956.25,820956.0,7909.48
2015-04-20,962.15,982.5,947.05,964.0,962.7,955217.0,9224.13
2015-04-21,965.8,974.0,945.0,950.45,950.45,736147.0,7027.88
2015-04-22,955.0,968.0,945.0,965.15,960.45,633768.0,6069.59
2015-04-23,970.0,993.0,968.0,985.0,985.55,987193.0,9690.58
