Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-01-01,397.1,406.0,397.1,405.85,404.45,2531499.0,10188.56
2015-01-02,406.0,413.0,406.0,411.0,410.75,3433980.0,14067.22
2015-01-05,413.0,421.45,413.0,417.95,416.7,5205645.0,21761.83
2015-01-06,414.0,414.0,394.35,395.4,396.5,6170681.0,24771.69
2015-01-07,397.8,397.8,383.6,388.6,388.9,4749099.0,18518.48
2015-01-08,394.0,396.7,390.6,394.15,394.95,3169917.0,12483.97
2015-01-09,402.0,404.9,395.1,398.9,399.65,5061000.0,20281.8
2015-01-12,399.5,399.5,393.0,396.9,396.75,2690982.0,10656.15
2015-01-13,397.0,398.85,390.2,391.4,391.5,3002748.0,11843.39
2015-01-14,391.45,391.45,375.5,375.95,376.85,7129562.0,27143.98
2015-01-15,378.8,388.7,372.1,381.0,384.75,7011341.0,26674.53
2015-01-16,382.0,385.5,376.3,384.15,383.4,4538517.0,17352.86
2015-01-19,384.6,386.9,380.55,384.7,384.75,2789825.0,10710.37
2015-01-20,385.6,403.6,385.6,403.0,402.0,6017882.0,23896.31
2015-01-21,405.0,406.0,393.5,396.1,397.1,3897727.0,15532.59
2015-01-22,398.0,404.7,396.0,403.4,403.4,4527709.0,18127.42
2015-01-23,410.0,412.0,399.0,401.6,403.1,4526581.0,18302.21
2015-01-27,402.8,404.0,395.5,398.0,398.4,3972311.0,15846.51
2015-01-28,397.0,397.0,388.9,389.75,391.15,3995448.0,15659.17
2015-01-29,390.3,392.4,383.7,390.0,390.4,5162946.0,20060.13
2015-01-30,392.5,395.0,386.5,390.7,390.45,3600813.0,14088.98
2015-02-02,389.9,394.8,382.2,383.8,383.85,3179020.0,12348.9
2015-02-03,387.0,387.45,378.1,380.55,381.1,3443635.0,13178.74
2015-02-04,383.9,393.4,383.0,387.75,389.2,4420502.0,17187.84
2015-02-05,391.7,392.8,378.05,378.55,379.25,3102143.0,11954.86
2015-02-06,380.0,380.7,367.0,367.1,368.65,4519435.0,16792.61
2015-02-09,357.0,361.5,346.2,346.3,347.45,7535773.0,26639.79
2015-02-10,345.0,360.0,345.0,358.5,357.75,5281226.0,18651.01
2015-02-11,360.0,368.7,353.0,364.4,365.0,3956657.0,14289.61
2015-02-12,366.2,367.4,356.0,365.95,365.3,3415692.0,12385.96
2015-02-13,368.7,371.8,365.25,366.15,366.55,3736466.0,13747.37
2015-02-16,368.75,374.45,368.35,369.15,369.8,2991370.0,11111.15
2015-02-18,371.95,371.95,364.7,368.1,367.5,3232668.0,11883.24
2015-02-19,368.0,379.8,368.0,375.5,375.25,7752626.0,29088.92
2015-02-20,378.0,381.85,373.0,374.0,374.7,3442401.0,13016.15
2015-02-23,376.5,376.9,365.0,365.7,367.35,3085181.0,11470.08
2015-02-24,368.1,370.0,357.2,358.5,359.1,3288127.0,11891.56
2015-02-25,362.8,364.8,350.1,350.95,350.9,3932349.0,14032.49
2015-02-26,352.3,354.9,344.25,345.4,345.2,8064365.0,28097.52
2015-02-27,347.45,354.7,345.8,351.35,350.65,5014678.0,17591.84
2015-02-28,356.15,364.55,346.5,355.3,355.25,7496515.0,26717.09
2015-03-02,357.4,359.2,349.0,352.5,352.55,4380314.0,15428.82
2015-03-03,353.0,357.85,349.5,352.45,353.15,5121104.0,18106.76
2015-03-04,356.0,357.15,345.6,346.45,348.15,4673329.0,16475.59
2015-03-05,348.5,349.2,341.25,342.8,343.25,4770135.0,16417.15
2015-03-09,343.25,343.7,335.0,335.35,336.3,4368765.0,14816.36
2015-03-10,338.15,339.0,330.05,332.3,331.6,4091848.0,13676.69
2015-03-11,333.0,335.0,324.25,325.4,325.3,4682270.0,15389.1
2015-03-12,327.7,336.4,327.45,333.3,333.2,4324521.0,14382.82
2015-03-13,336.0,336.45,325.0,327.75,326.5,3279674.0,10777.12
2015-03-16,328.85,328.85,323.1,326.5,326.2,2777100.0,9039.12
2015-03-17,330.0,336.45,327.1,332.55,332.55,4329067.0,14375.12
2015-03-18,335.7,335.7,329.35,329.9,331.75,3099693.0,10307.08
2015-03-19,334.25,344.8,333.65,334.65,336.6,6148738.0,20897.8
2015-03-20,336.6,341.4,327.0,328.25,328.7,5776131.0,19275.76
2015-03-23,330.45,335.0,328.6,331.7,331.4,3580330.0,11882.28
2015-03-24,330.1,333.9,324.25,327.0,327.15,4453740.0,14634.67
2015-03-25,328.0,328.95,322.0,322.0,323.15,3544781.0,11502.44
2015-03-26,323.0,324.95,314.0,315.6,315.6,6516994.0,20767.63
2015-03-27,317.4,319.35,311.2,314.85,315.1,4019204.0,12683.24
2015-03-30,318.0,324.9,315.15,324.0,322.4,2990579.0,9570.4
2015-03-31,326.3,326.4,315.2,316.15,316.75,3934898.0,12610.75
2015-04-01,317.0,324.9,316.0,322.75,323.65,3086061.0,9886.38
2015-04-06,324.4,325.6,316.6,317.4,318.1,3669674.0,11705.3
2015-04-07,320.3,335.2,317.0,334.4,333.5,7293723.0,23780.09
2015-04-08,336.1,338.9,328.6,335.8,336.1,6284727.0,21046.52
2015-04-09,337.5,347.4,337.0,345.7,346.05,6151508.0,21101.97
2015-04-10,345.7,349.0,341.25,342.25,342.7,4816228.0,16629.18
