Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-01-01,886.3,892.0,883.65,888.0,887.9,677439.0,6013.06
2015-01-02,888.1,896.05,884.3,884.95,885.55,1675827.0,14904.61
2015-01-05,885.0,890.9,874.1,875.55,875.85,2309591.0,20367.81
2015-01-06,870.0,873.0,832.0,832.5,836.1,4258043.0,36091.33
2015-01-07,837.1,858.8,837.0,858.0,854.3,4736315.0,40249.72
2015-01-08,860.1,862.9,840.15,843.0,842.05,4542457.0,38415.74
2015-01-09,848.4,862.0,845.0,861.5,860.3,3061366.0,26087.41
2015-01-12,860.5,861.0,841.6,852.5,850.3,2308716.0,19566.62
2015-01-13,853.0,854.95,840.5,845.0,843.15,2274108.0,19211.07
2015-01-14,843.0,847.0,831.2,837.0,834.95,2601286.0,21749.13
2015-01-15,840.0,871.1,840.0,863.0,864.25,3869247.0,33162.04
2015-01-16,860.0,875.0,852.05,867.5,869.7,4374388.0,37943.07
2015-01-19,870.2,886.0,858.75,879.75,879.65,3049291.0,26749.72
2015-01-20,881.5,905.55,878.85,902.55,903.05,3054173.0,27314.7
2015-01-21,905.0,911.4,892.05,907.05,906.75,3905183.0,35292.38
2015-01-22,905.15,907.2,879.5,884.2,883.75,5422365.0,48171.56
2015-01-23,890.0,897.8,877.0,886.85,886.9,4132897.0,36670.65
2015-01-27,892.9,896.7,880.5,887.25,889.05,4100754.0,36428.49
2015-01-28,886.1,909.8,886.1,906.55,906.85,4411227.0,39612.82
2015-01-29,907.1,934.5,906.9,927.95,929.4,8255888.0,76482.31
2015-01-30,930.0,931.25,909.0,916.35,915.25,4970953.0,45640.56
2015-02-02,916.05,919.9,905.7,908.2,908.05,4412275.0,40268.71
2015-02-03,913.2,940.85,913.2,936.3,937.6,3907020.0,36348.96
2015-02-04,939.1,943.8,925.9,926.7,928.8,3216827.0,30133.88
2015-02-05,936.0,939.9,917.6,921.6,923.7,2826578.0,26290.35
2015-02-06,924.1,930.0,903.0,911.15,909.9,2067728.0,18946.68
2015-02-09,901.2,918.0,892.0,894.35,896.7,2020605.0,18297.48
2015-02-10,898.0,904.5,861.3,884.6,882.0,3120391.0,27707.94
2015-02-11,886.0,904.75,883.0,901.5,900.7,2235774.0,20002.18
2015-02-12,908.0,913.95,887.25,912.55,909.15,1990874.0,17904.99
2015-02-13,914.0,920.8,909.05,920.05,917.5,1690071.0,15483.93
2015-02-16,918.7,924.2,900.0,902.15,902.8,2803961.0,25539.75
2015-02-18,900.0,908.0,894.4,901.1,901.65,2248124.0,20262.11
2015-02-19,906.95,907.6,887.55,901.15,902.05,2183115.0,19579.5
2015-02-20,895.25,896.0,871.3,872.8,873.1,4278437.0,37518.37
2015-02-23,869.95,876.75,847.1,848.1,851.45,3224043.0,27758.39
2015-02-24,854.25,856.8,837.0,842.2,841.45,4559370.0,38470.76
2015-02-25,848.8,856.5,841.05,844.55,843.15,3491406.0,29602.07
2015-02-26,846.1,850.0,836.6,848.5,842.0,4905338.0,41290.95
2015-02-27,847.55,861.0,844.6,859.3,855.55,4265220.0,36336.41
2015-02-28,862.8,868.4,846.6,867.0,865.15,2093776.0,18009.27
2015-03-02,869.0,875.5,855.55,864.95,864.25,3332631.0,28735.65
2015-03-03,869.0,906.45,867.4,900.15,900.8,4717254.0,42175.79
2015-03-04,906.0,909.65,880.05,886.25,887.85,3308981.0,29614.8
2015-03-05,892.5,898.75,878.15,886.0,884.95,2449658.0,21738.92
2015-03-09,885.1,891.75,864.15,865.4,869.65,3215112.0,28247.81
2015-03-10,868.95,875.8,855.4,858.0,859.15,3482250.0,30067.77
